Cluster,total_mins,total_calls,avg_mins_per_call,day_mins_share,eve_mins_share,night_mins_share,intl_mins_share,intl_call_rate,vmail_usage_rate,calls_per_day,usage_time_std,Customer_Count
0,772.65,314.52,2.5,0.32,0.34,0.34,0.02,0.01,0.01,3.2,26.19,1972
1,561.63,303.95,1.87,0.23,0.38,0.39,0.02,0.01,0.02,4.18,62.61,1269
2,555.29,285.88,1.95,0.31,0.34,0.35,0.02,0.01,0.03,285.88,42.48,8
3,564.44,303.28,1.88,0.37,0.32,0.31,0.02,0.02,0.04,3.96,41.2,1444
4,798.07,474.98,1.72,0.33,0.34,0.34,0.02,0.01,0.0,4.27,21.57,2774
